Series Name,"Series Code","Country Name","Country Code","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]"
"Population, total","SP.POP.TOTL","IBRD only","IBD","2356892546","2877115899","3453648037","3979356320","4424528755","4469961043","4517846874","4566948798","4615651856","4662836842","4708313438","4752675645","4794094269","4832585266","4866828116","4894666421"
"Population, total","SP.POP.TOTL","IDA & IBRD total","IBT","2866639928","3538125231","4320048688","5094293697","5838903143","5917936328","5998753810","6079936045","6160835364","6240908648","6320624467","6400602851","6478776303","6555193386","6628629499","6696373761"
"Population, total","SP.POP.TOTL","IDA blend","IDB","156188262","208958276","285458430","372181624","474626536","486354807","497317025","507906365","518378284","528669692","538868249","549511044","560698093","572192040","584212703","596608333"
"Population, total","SP.POP.TOTL","IDA only","IDX","353559120","452051056","580942221","742755753","939747852","961620478","983589911","1005080882","1026805224","1049402114","1073442780","1098416162","1123983941","1150416080","1177588680","1205099007"
"Population, total","SP.POP.TOTL","IDA total","IDA","509747382","661009332","866400651","1114937377","1414374388","1447975285","1480906936","1512987247","1545183508","1578071806","1612311029","1647927206","1684682034","1722608120","1761801383","1801707340"
"Population, total","SP.POP.TOTL","Late-demographic dividend","LTE","1336152939","1593099029","1847821461","2046026051","2182659481","2196448219","2212426916","2228642364","2244311001","2258792292","2272847109","2287248399","2299720675","2310338402","2318233156","2323185156"
"Population, total","SP.POP.TOTL","Latin America & Caribbean","LCN","285779012","361451180","441597528","521281149","588873862","595510008","602139396","608642242","615046755","621390109","627667493","633795231","639626265","645293844","650533026","654978670"
"Population, total","SP.POP.TOTL","Latin America & Caribbean (excluding high income)","LAC","255049279","323797061","396328556","468125382","528978305","535014773","541048298","546954103","552781789","558562792","564377885","570381211","576620516","582701622","588011178","592503434"
"Population, total","SP.POP.TOTL","Latin America & the Caribbean (IDA & IBRD countries)","TLA","273707085","347846551","426738769","505569501","572949377","579610152","586263141","592784484","599226878","605613677","611946736","618155029","624120970","629795751","634961078","639469895"
"Population, total","SP.POP.TOTL","Least developed countries: UN classification","LDC","313150585","398831237","513410293","661430964","842807198","863421305","884653995","906405074","928661685","951184941","974516186","998532743","1022731692","1047426093","1072970944","1098791080"
"Population, total","SP.POP.TOTL","Low & middle income","LMY","2666686848","3321713494","4089544168","4863090613","5610455957","5689033832","5769216950","5849715412","5929949445","6009439133","6088698400","6168617518","6247396829","6324580903","6398830423","6467799496"
"Population, total","SP.POP.TOTL","Low income","LIC","174131565","225097677","288759638","382593480","510897321","525506329","540002626","553835758","567702296","582173028","597683499","613946858","630865826","648755452","667053670","685250041"
"Population, total","SP.POP.TOTL","Lower middle income","LMC","1053935945","1337497873","1711089696","2114855470","2525974118","2568598935","2610684758","2653214685","2695950000","2737695800","2779326476","2821058566","2862391122","2903108878","2943860780","2983113040"
"Population, total","SP.POP.TOTL","Middle East & North Africa","MEA","137811201","186021685","256203998","321037453","397997557","406045323","414117603","422790409","431664579","440506473","448917409","456885486","465073490","473201775","479966649","486174763"
"Population, total","SP.POP.TOTL","Middle East & North Africa (excluding high income)","MNA","126316235","167489905","228846359","283899110","343313330","349770162","356239722","363310225","370756356","378137339","385054538","391607422","398375344","405259403","411810124","418047201"
"Population, total","SP.POP.TOTL","Middle East & North Africa (IDA & IBRD countries)","TMN","126316235","167489905","226868111","280976957","339527169","345887176","352259724","359233517","366582958","373867247","380687450","387152617","393806257","400574097","407006855","413124452"
"Population, total","SP.POP.TOTL","Middle income","MIC","2492555283","3096615817","3800784530","4480497133","5099558636","5163527503","5229214324","5295879654","5362247149","5427266105","5491014901","5554670660","5616531003","5675825451","5731776753","5782549455"
"Population, total","SP.POP.TOTL","North America","NAC","226431000","251795337","277373464","312909974","343398169","345987266","348655855","351205940","353885533","356508729","359247112","361731076","363974737","366012359","369619464","370352605"
"Population, total","SP.POP.TOTL","Not classified","INX","","","","","","","","","","","","","","","",""
"Population, total","SP.POP.TOTL","OECD members","OED","916668377","1018252563","1104791543","1200179492","1290949310","1297593832","1305512665","1313642010","1322072133","1330316951","1338792226","1346867182","1354843844","1362032167","1369502262","1371972508"
"Population, total","SP.POP.TOTL","Other small states","OSS","6444640","7762924","9392516","10620985","12328684","12440374","12569929","12725773","12900102","13082531","13258300","13439650","13608679","13751038","13853034","13943732"
"Population, total","SP.POP.TOTL","Pacific island small states","PSS","1180979","1454737","1776243","2035672","2301401","2327284","2353058","2379069","2405308","2431426","2457814","2484263","2510226","2536070","2566819","2602173"
"Population, total","SP.POP.TOTL","Post-demographic dividend","PST","839994662","909780809","964048985","1020793420","1075047440","1077986944","1082488131","1087228563","1092176251","1097076319","1102054942","1106262382","1110198958","1113410921","1117530670","1116651310"
"Population, total","SP.POP.TOTL","Pre-demographic dividend","PRE","241726476","320890339","417144782","553089230","739525992","761717101","784822780","808542070","832469778","856420253","880891473","905987912","931467165","957503246","984213438","1011043183"
"Population, total","SP.POP.TOTL","Small states","SST","9730952","11498324","13568047","15294390","17490321","17645826","17821789","18026868","18251250","18483937","18709361","18940564","19177011","19377482","19526038","19674424"
"Population, total","SP.POP.TOTL","South Asia","SAS","720399195","904993069","1141312704","1406945493","1660546144","1684898004","1708706729","1731683901","1754030304","1775545180","1797072648","1818931519","1840534093","1861598514","1882531620","1901911604"
"Population, total","SP.POP.TOTL","South Asia (IDA & IBRD)","TSA","720399195","904993069","1141312704","1406945493","1660546144","1684898004","1708706729","1731683901","1754030304","1775545180","1797072648","1818931519","1840534093","1861598514","1882531620","1901911604"
"Population, total","SP.POP.TOTL","Sub-Saharan Africa","SSF","293900563","388793467","516629688","671212486","879797419","904282154","929328653","955096702","981506608","1008698799","1036155989","1063885274","1092403973","1121549049","1151302081","1181163013"
"Population, total","SP.POP.TOTL","Sub-Saharan Africa (excluding high income)","SSA","293846963","388730206","516560181","671131355","879707649","904194713","929240350","955006753","981415249","1008605380","1036061312","1063789431","1092307211","1121451424","1151203619","1181063755"
"Population, total","SP.POP.TOTL","Sub-Saharan Africa (IDA & IBRD countries)","TSS","293900563","388793467","516629688","671212486","879797419","904282154","929328653","955096702","981506608","1008698799","1036155989","1063885274","1092403973","1121549049","1151302081","1181163013"
"Population, total","SP.POP.TOTL","Upper middle income","UMC","1438619338","1759117944","2089694834","2365641663","2573584518","2594928568","2618529566","2642664969","2666297149","2689570305","2711688425","2733612094","2754139881","2772716573","2787915973","2799436415"
"Population, total","SP.POP.TOTL","World","WLD","3690229198","4442416674","5293498452","6144444748","6969894715","7053988749","7141430933","7229458453","7317304568","7404251118","7490956237","7577110140","7661177849","7742724795","7821271846","7888963821"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Afghanistan","AFG","18161689.9346172","59464851.9546485","","","444324240.243129","520334664.430149","569623570.938043","576468821.935881","612803653.538383","523532102.941459","472166739.725436","496707377.967453","482833320.042869","498263992.940825","527512991.719678","386856048.870212"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Albania","ALB","","","56746305","103529106.762803","367574831.061924","404295655.243036","386165196.652801","413360041.921637","420811677.830542","359944696.167548","430652244.139292","431208986.610019","448927337.829779","523879044.591748","415568658.038877","502821564.428393"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Algeria","DZA","248029361.649687","1700062040.861","2956905919.45105","2326532097.93582","7181536096.0098","8843683204.57557","9220803680.5866","9184568202.16368","9330827852.42856","7221992395.47679","7079343624.77869","7485187105.19705","7616884245.14041","7485596294.7591","6346317873.05262","7123299140.78215"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","American Samoa","ASM","","14959621.848","","","","","","","","","","","","","",""
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Andorra","AND","","","","","","","","","","","","","","98651002.895377","",""
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Angola","AGO","","","441176470.588234","222717170.981021","2635206624.60899","3567979650.801","4099254026.98071","4417558632.68442","4602044042.57063","2955420043.59899","1686512867.23382","2310987799.41673","2562668912.75516","2250633348.4108","1753095950.05464","2216268401.89677"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Antigua and Barbuda","ATG","","3776699.77333334","15301468.9207444","26817505.8148148","25222042.5000001","24807868.3333334","26107240.8333332","25712732.5","26752015.8333333","28180767.5000001","30138367.5","31257630.8333334","34379848.3333334","35583251.6666666","30275849.1666667","32728500"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Argentina","ARG","425548451.955787","1678304628.0744","1351500270.50147","12726174569.4","18495499593.0454","25044026118.456","27749973043.2723","28254626630.7062","26250654225.5219","30652512478.7175","27576671454.3937","31276869360.7932","24944169422.8991","20778236310.9186","18923282005.2854","24056828336.1412"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Armenia","ARM","","","76084762.2021918","45823806.5247388","277391346.519116","305311195.945177","326853743.089974","301002327.015736","254766307.927874","296117168.75877","263833083.210589","273378571.120664","298619842.353645","334933352.269566","310560341.825163","366371901.692372"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Aruba","ABW","","","35916973.411509","75726749.5013877","152222234.636871","138015821.22905","171263403.583505","175759623.644738","163312826.486939","174477003.10819","163850845.134458","168054043.970204","171842707.140957","184967216.19328","146213324.962984","174471453.093207"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Australia","AUS","2035614364.41483","7420947075.2089","13225834551.7507","19506490234.2524","56087531401.3915","65103659173.8147","75743334708.1873","76161147744.5621","69449484926.8878","66295707011.2121","59029245773.5312","64658985215.0679","69322524330.2439","67425211189.5042","64987464910.2899","76931642189.4622"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Austria","AUT","494196280.497485","3532329671.34652","7692105859.85719","10486248299.9668","21360049278.66","23389597878.7413","21351372422.9522","22777598317.1777","22909351944.0208","19698349035.6868","20335549325.067","20913121283.8726","22081658341.9491","21586838446.2502","21379238418.2904","23494511993.3821"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Azerbaijan","AZE","","","","209201385.784533","1442491652.13058","1572861795.61859","1416304372.92493","1732254824.26875","1904229748.72365","1532380564.01952","1077984877.15215","997849387.696385","1141284052.15931","1109592164.71951","1652856752.09528","2083818450.79112"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Bahamas, The","BHS","16812139.8203593","40615859.2","113573980.8","304403572.12","378223146.16","377210164.2","400931432.4","392523797.2","411866728","439532910.8","437055113.2","460153096.4","459896111.2","482890533.2","355176560","401756086.4"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Bahrain","BHR","","141183680.291854","200309840.425532","351219359.020709","638356055.718085","705970305.851063","865489653.75","912098876.090425","924073781.48936","853058884.468084","885789295.212767","974387960.106382","1039628457.44681","1059005497.34043","939062417.553193",""
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Bangladesh","BGD","","127098590.988372","386808665.876291","705302389.18704","2215727276.8479","2729343423.98999","2714659000.60923","3018791463.09511","3409400115.13692","3811772830.41931","5055864611.40247","5052190883.88089","5027073862.61153","4920136108.64201","5239773602.83109","5896415883.15113"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Barbados","BRB","","","125381122.372147","128949225","255359165.97","243369337.8425","239191631.14","259358236.367658","278106474.518261","246061173.48359","217930084.752678","207842606.598661","184298141.209012","163627904.715411","139662647.158818","302458410.761757"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Belarus","BLR","","","779400000","685038756.174783","2774972143.50453","2754497321.80905","3063043393.34293","3556336589.00901","3585480109.60485","2573943573.48139","2266976957.64073","2476338808.26388","2732988939.19364","2965031577.90995","2783973758.85875","2914633546.38511"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Belgium","BEL","1110681895.92578","6725598299.07576","8857161281.9894","11533684445.5697","29817411823.2901","32079058051.6332","31041934354.2395","32662951396.7931","33582442568.2022","28324678486.4744","29051556627.144","30647557170.5377","32780707843.6024","32152596887.2891","31531903897.2352","35634451540.2774"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Belize","BLZ","2162874.25149701","8197384.77247605","24562924.4022","54430766.08","103542905.678571","115394100","116684260","122068170","127812780","135151695","137196495","138075120","137944125","143969895","129164265","154225845"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Benin","BEN","10264960.990669","46271578.858592","63385822.7006829","94356955.7087501","454178681.236937","509864936.249858","527152076.369907","583850056.312845","601659845.890344","331316927.859382","343714264.097569","368443877.971757","413747689.78095","417919605.886484","454309168.78729","516228818.011273"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Bermuda","BMU","","","","","142394700","127261639.585502","121994543.990816","114788207.20849","104035939.293463","98460594.7677072","101346457.704181","106195354.155036","106554290.981115","107470236.174559","101267131.965769","108518381.410268"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Bhutan","BTN","","2451668.21194302","6386849.04944052","18697002.911215","44530315.7670286","56049718.2567145","65231988.6883944","74930673.2092307","92126527.7147887","108082009.014123","114625801.901878","129962956.775768","129331957.809415","133945556.831105","126756098.045406","138464662.895285"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Bolivia","BOL","","183344122.512235","162973041.863205","393091525.21711","1352646269.73079","1505011677.97319","1542140161.24271","1744968206.41274","1902932281.05354","1937884511.12232","2025869999.22436","2213058943.94389","2390169165.21955","2435613261.21767","2201748043.47514","2393602405.97924"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Bosnia and Herzegovina","BIH","","","","","","","","","","","","","","","",""
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Botswana","BWA","4012765.93704384","41577650.5404016","158443617.307175","362548440.626982","1151564587.28803","1423528438.23813","1342804984.51149","1351011149.49815","1439349620.89549","1244235618.55267","1307488531.81301","1395632505.15105","1453295802.6","1499723745.33791","1391790503.1616","1579185592.532"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Brazil","BRA","1501928756.85078","7955496612.76769","17625899447.0133","24699012563.2457","115380448270.68","139938624966.176","133163941630.802","135377264140.842","136502179787.782","108035841225.78","109562539081.556","127192184991.617","113133968716.868","108395081599.484","84300734788.896","93093055234.6571"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","British Virgin Islands","VGB","","","","","","","","","","","","","","","",""
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Brunei Darussalam","BRN","","","126739862.068965","218441980.348028","276219948.661533","424837557.644192","498860670.088849","538598852.599093","570014890.665309","497533111.521539","488232254.160131","512674430.860723","544702386.202685","551857369.646954","493485655.033656","562459419.551448"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Bulgaria","BGR","","663860461.538462","835820000","414379167.453178","1975183834.43888","2061744959.40277","1912759791.72142","2099528167.94236","2195890795.02121","1925811892.07071","2063851350.95668","2304111720.60506","2555717896.5797","2720480821.76475","2754401226.86174","3325573391.03601"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Burkina Faso","BFA","7960570.29300331","32718865.9960545","84073752.3394557","86550191.5594817","316783607.532807","478776255.620642","443214555.155698","563778525.662989","574846323.406399","486733714.505314","528480500.184271","585183172.948834","663220026.591218","660570964.23158","718254102.921111","806740752.682602"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Burundi","BDI","5230516.49196001","22548725.75808","36867988.0879391","26676299.8863765","128552600.625164","127997735.547965","132396954.188601","126975792.988883","139652247.718746","160666821.370701","136532982.586649","140452900.637172","137967190.587776","133732062.511255","137887116.735111","144290531.041192"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Cabo Verde","CPV","","5169571.2643135","10330605.5765842","24875757.4499396","78106655.1230988","89818252.2273195","84611498.8588094","91792651.6518709","91984675.2201148","81037449.5693014","83605442.9308858","89088440.7625152","100089770.191993","101129517.304174","86691315.6557824","98979469.8058307"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Cambodia","KHM","41642205.6967951","","","54775464.9554489","172432891.912403","193724642.353815","227456804.254679","250814796.017891","278167104.219394","300784094.036853","334543005.6421","371038865.591131","409999702.631603","450204688.314851","437866336.645874","450783577.966216"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Cameroon","CMR","34894686.9947263","160872159.632102","353602816.478664","176498236.813286","806400124.439266","852198418.09113","793248441.190639","887322907.219442","967390908.759587","851525339.789927","891255109.300352","949717762.66424","1051468354.19793","1040586269.24567","1069023200.00834","1187421717.13847"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Canada","CAN","6365418134.19797","16577621618.2005","33328376756.942","38936726194.3446","79268993782.5595","86741071024.6587","82862154793.9442","78154670976.4334","80726951226.6161","68047557529.1186","68362924865.2296","74425119996.6159","77027754104.1718","77023158507.5124","72876039708.9169","88424162323.2619"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Cayman Islands","CYM","","","","","","","","","","","","","","","",""
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Central African Republic","CAF","7871332.01650475","29585693.9600416","31202015.6325753","14343345.3260426","24750699.063429","28148678.24106","28995504.9260973","19627155.2459245","22016945.6927523","19744122.4179088","21249490.8521789","25046257.1005799","27447570.463942","27439270.4991031","28253062.0665721","30914324.1260583"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Chad","TCD","6032246.22116556","13255428.3729245","21091734.2037029","27694113.8764981","152623510.598242","192069277.033524","213066961.274877","218268973.472416","235470842.651356","187479673.543562","175000782.268158","174255900.276689","195540344.038885","196705302.07852","175645715.513298","200945131.932824"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Channel Islands","CHI","","","","","","","","","","","","","","","",""
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Chile","CHL","346241217.616301","1236699634.35898","752508735.640538","2575012578.87294","8588858961.24387","9449083698.76322","11768535116.875","12105714506.5183","11764298574.2868","11641165727.0719","12353298808.8908","14005406539.2464","14150056540.2504","14825699203.1222","13094109974.4347","16511373520.1087"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","China","CHN","1491164289.92201","3249536596.775","6462804388.67287","21420595778.5188","108493546394.082","133912110592.406","152372181924.015","169917164535.727","187752787044.079","197057002183.224","200078614800.498","220067586336.324","247624815977.905","254894715503.291","260804229509.622","314544773143.122"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Colombia","COL","122193988.128841","563643257.845566","1047399165.50591","3587914362.03466","10767627385.7862","10456137166.1544","11379887983.4398","13542563500.9673","12848811573.7914","9811037258.70636","9813647652.47923","10772128801.063","12989406914.5207","12369097354.1267","11552274426.0477","13338478597.8532"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Comoros","COM","","8359744.5329044","16727760.892521","7470246.6368541","21738308.3105431","24775381.9880748","24852699.4656318","27661999.8462669","28907722.7086649","24585752.8614352","25783683.2265257","27407098.4465501","30258122.0684355","30399566.1972733","31136881.6270855","32975366.2421576"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Congo, Dem. Rep.","COD","","","","194786595.168917","313955080.072259","417236178.738937","520948976.433684","615293718.034282","677102825.480815","723611593.487303","748714526.445952","761080575.76861","944806215.887375","1008611475.73547","977348244.016748","1070929608.14568"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Congo, Rep.","COG","15285174.1070857","101916306.001945","156469073.203973","102982008.46904","307982689.372129","355059456.091752","421759132.930099","442193590.155084","458029472.735855","297975378.355943","247679081.498386","240313883.834926","323736960.352365","285820306.428724","224565830.273009","322122671.623051"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Costa Rica","CRI","48451507.9245283","323074290.898483","237121726.774453","680431088.651975","2340755543.32367","2743518816.49558","3137315174.59453","3473637598.25392","3501426088.76712","3763559618.49462","3895001184.18963","4090069233.85123","4115755455.39578","4294570093.80816","4022198355.93137","4123394817.86498"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Cote d'Ivoire","CIV","68141480.1266702","580830897.815028","644361995.042644","383726823.691088","1055033450.91357","981199045.704794","1085248577.78665","1322136130.17738","2185774665.0972","1506534315.25966","1779925980.08562","1835286675.68386","1778329629.53151","1815497897.65783","1896005678.32343","2164584452.49311"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Croatia","HRV","","","","747017741.433164","2392275791.32972","2571306780.82472","2392480710.66595","2570347024.73679","2781627379.06416","2368922022.66037","2160234580.11944","2080083311.52407","2323341570.80433","2272101067.07601","2145631044.65084","2533646931.99918"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Cuba","CUB","359900551.902135","1484387350","1710131276.72873","2179886800","7576638518.51851","8837172600","9386194600","9917002600","10356233210","11190421400","11720188600","12424159700","12824607500","13253781380","",""
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Curacao","CUW","","","","","","141811478.857085","148702348.895839","149898130.289003","151397808.927537","152246279.183135","150208539.618202","151488671.490534","151791681.464481","151899825.469941","126875819.231962","136598986.30576"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Cyprus","CYP","","69580083.5820896","172273180.153649","457365842.242952","1582147864.11507","1685066441.27673","1526184156.27267","1498901138.85967","1454705996.76006","1207577628.56925","1214765541.17847","1210978168.98399","1332633129.81343","1316042752.14384","1246817117.36085","1394685936.13307"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Czechia","CZE","","","","2073397872.80901","7601332917.93753","8483655219.89534","7993005889.41388","7735600135.3594","7376706630.42704","9964758197.51851","10307981816.506","7592022701.4361","9284683310.95176","10211596209.228","10057768462.8606","11583527820.7414"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Denmark","DNK","773264262.666668","3708096461.2573","8960150793.08131","12225778238.0516","25984616456.9285","28346447300.323","21558468255.2945","27334252010.7914","25235367329.2812","21140755053.6163","21350966181.8508","24297936121.6422","22642139914.6156","22251512919.0591","22885578118.0336","25717792415.9053"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Djibouti","DJI","","","","52536611.1729459","89418723.781783","97371279.4441246","107778576.933228","157226898.486796","170963298.313345","187065347.239263","197020471.58082","205677385.401121","216240663.183353","233697110.928944","240524370.525438","267065022.252878"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Dominica","DMA","","3947651.28","9796153.55281481","14707592.5925926","24219259.2592593","24523888.8888889","23823333.3333334","23939444.4444445","25178175.925926","26092192.5925926","27755027.7777778","26168385.1851852","27779081.4814815","30103622.2222222","25556283.3333334","27791257.4074074"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Dominican Republic","DOM","36905002.5","96307501.5","75487402.4412193","479289551.393021","991998036.178383","1090448146.5552","1165638743.90582","1504242086.36952","1610621296.10814","1718846136.29905","1825239069.55809","1919775406.59107","2062352548.48335","2138149837.28354","1889935536.53808","2255669281.63461"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Ecuador","ECU","45332642.6555834","569848311.486594","943921400.201936","201821922.761381","2660483912.4","3122713720","3402885763.2","3721851412.46768","4023195872.19227","3959622270.98214","4023877861.73551","4225585493.87666","4385266431.64902","4444917363.27654","4004955082.02872","3788159766.10149"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Egypt, Arab Rep.","EGY","353592628.080633","747776880.304168","1379276658.59645","4424603527.84217","9467112154.40322","10142949834.9003","12026372265.0736","12396485193.9337","13159830495.2525","14277299528.5941","14467169415.1215","10196987123.7031","10738153001.527","12883630367.2864","15610914004.6162","17280300730.2836"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","El Salvador","SLV","7863240","34901599","141541688.268109","292908423.58","565946836","619464510","725334925.336419","764199555.709849","806765552.741615","859370782.268705","860383097.613733","855656808.725271","875418717.383145","856193200.884155","779356518.549652","908915041.694369"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Equatorial Guinea","GNQ","1002921.42857143","731999.010214227","1841911.78470372","6082262.24693154","95784551.2771671","138192203.104688","148442331.770267","150038626.992207","147963876.347752","99450176.6406179","87099385.4816762","89835303.3668081","100269796.28101","83299170.1094535","74545293.678095","91477621.7096727"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Eritrea","ERI","","","","21006429.0766799","27002064.5385366","35113028.7687805","","","","","","","","","",""
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Estonia","EST","","","","271953471.691989","1003123784.88718","1050754100.68629","959781077.663205","1053725028.21122","1061853005.55248","1078988276.90169","1153935733.25259","1214870726.11682","1416154817.49116","1451874222.63673","1476731312.46529","1739838212.35032"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Eswatini","SWZ","2924559.84544309","","52907828.0477625","92337021.8896798","356528662.875847","417949722.529644","388716904.23949","342208840.761448","298659986.985223","275243441.628291","254594686.626524","289636997.696454","306257796.933769","285022793.181956","253142433.718638","307552779.816646"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Ethiopia","ETH","","","242162393.236716","198828999.100404","882837017.876037","1166927746.93548","1573008855.8215","1369193179.71661","1579024793.2398","1977699777.39198","2276755204.45089","2499076879.79193","2579223080.16095","2930663014.99787","3291054972.80635","3403852722.00242"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Faroe Islands","FRO","","","","","","","","","","","","","","","",""
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Fiji","FJI","7787687.72211394","58270255.6799512","58887214.6659464","86390617.4488407","141130998.255335","161550324.138701","159996796.158957","162472999.123361","183191520.264955","174307070.10303","184341901.862634","194996910.234724","206515613.631776","198978260.828894","165953532.358687","160021612.34987"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Finland","FIN","561940032.559455","2421519214.2174","7228225756.492","6762661528.32002","15335922084.6284","16654899386.5915","17516098906.6025","18214012583.6976","18290512624.7152","15034168149.9891","15044210680.4108","14799818750.8887","15826818215.3172","15429438399.7825","15803988893.7515","17317413556.7777"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","France","FRA","4322531002.71642","28258429059.2984","54764729550.6567","67770522458.9498","138027356647.8","145595741808.546","137391699950.06","141337651853.696","144592294968.361","122983667372.482","124490738066.408","130677773879.56","139071469163.08","133751500350.201","128596556180.001","146120155219.451"
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","French Polynesia","PYF","629802.405602942","106956257.664265","12101728.579319","21553187.1665926","","","","","","","","","","","",""
Adjusted savings: education expenditure (current US$),"NY.ADJ.AEDU.CD","Gabon","GAB","8293320.23735751","104112771.144912","144081430.049647","131574252.331711","382024594.116988","480763466.666894","472983330.989902","486263744.77918","528041259.833686","403574796.849826","395807184.557892","427963330.274807","482102190.084335","474640695.374938","443802596.835557","521801340.915591"
