Series Name,"Series Code","Country Name","Country Code","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
GDP (current US$),"NY.GDP.MKTP.CD","Sweden","SWE","38092452060.6201","142092068280.689","261846194498.885","262835454366.855","495812558843.31","574094112972.733","552483727282.802","586841821796.891","581964017237.095","505103781349.757","515654671469.547","541018749769.097","555455371487.089","533879529188.454","547054174235.876"
GDP (current US$),"NY.GDP.MKTP.CD","Switzerland","CHE","24998066773.3821","122557843886.137","265763573999.424","279216033870.204","598851028906.58","715888126682.396","686420221557.99","706234937370.968","726537808338","694118186379.628","687895460902.713","695200833086.499","725568717468.001","721369112726.724","741999406005.627"
GDP (current US$),"NY.GDP.MKTP.CD","Syrian Arab Republic","SYR","2140383979.21637","13062420540.9115","12308624283.9564","18937052543.4373","61390831317.8635","67539427670.9958","43190317724.7088","21361254647.9904","21502061462.2122","16466863097.2125","12597854884.462","16369843341.3865","21497782880.7488","22583045052.56","11155888304.0023"
GDP (current US$),"NY.GDP.MKTP.CD","Tajikistan","TJK","","","2603571428.57143","860541842.263697","5642221099.17704","6522756255.012","7633036903.07634","8448411318.25417","9112605459.32845","8271431485.07484","6992416096.89018","7536402852.85802","7764999999.45362","8300813599.3084","8133963550.65742"
GDP (current US$),"NY.GDP.MKTP.CD","Tanzania","TZA","2851419386.0534","11409228086.7572","6184384225.02594","13371767081.7428","32012892919.37","34657140096.4836","39650394362.9287","45648857242.315","49986726460.6805","47413919817.124","49774409374.4538","53274884532.7886","57003712892.0858","61026731925.9213","66068737786.0639"
GDP (current US$),"NY.GDP.MKTP.CD","Thailand","THA","7086538437.5","32353514988.7287","85343190719.0107","126392224253.794","341104766329.17","370818739623.622","397558325278.579","420333654592.547","407339040197.651","401296238228.084","413366349747.508","456356813536.764","506754208404.485","543976691793.886","500461898480.246"
GDP (current US$),"NY.GDP.MKTP.CD","Timor-Leste","TLS","","","128210141.761689","366924300","881909300","1042534600","1160555000","1395727400","1447535200","1595205100","1652603700","1598208400","1566157200","2027034000","2162619200"
GDP (current US$),"NY.GDP.MKTP.CD","Togo","TGO","358665753.907748","1604836915.96492","2299665505.61552","2106848752.25468","4746389531.71369","5422442166.41062","5413544658.5045","6021732977.26811","6393318261.86007","5755461035.44333","6071170959.12093","6387422517.69225","7029300383.08031","6992700101.37188","7400284167.78479"
GDP (current US$),"NY.GDP.MKTP.CD","Tonga","TON","","53260077.4311091","113563821.577404","204848487.806485","366832215.189578","414533117.692299","470705196.432659","450650633.04135","439877614.419206","437003078.563584","420548712.433288","460374354.847247","488906838.594866","512053692.078675","484796854.918756"
GDP (current US$),"NY.GDP.MKTP.CD","Trinidad and Tobago","TTO","821850000","6235833333.33333","5068000000","8154338232.95978","22157948396.2042","25433011405.3017","27334581560.2837","28709988700.2142","29699968760.7278","27026080986.578","23713671528.1421","24040299977.8745","24569079488.3913","23775754304.6652","20807571314.3043"
GDP (current US$),"NY.GDP.MKTP.CD","Tunisia","TUN","1439238095.2381","8744134354.16152","12290568181.8182","21473528160.7782","46206091937.9628","48123325825.0739","47311401812.6733","48685446413.953","50271812920.612","45779494041.9295","44360072680.4476","42163530590.9462","42686580020.8322","41905540184.424","42491816475.7118"
GDP (current US$),"NY.GDP.MKTP.CD","Turkiye","TUR","17863636363.6364","68823684210.5263","150655500191.644","274294623164.043","776967266305.53","838785289694.35","880555885492.269","957799120008.32","938934609296.966","864313810469.009","869682881593.041","858988492853.742","778972199727.859","761005946788.221","720338498174.744"
GDP (current US$),"NY.GDP.MKTP.CD","Turkmenistan","TKM","","","3000000000","2904663310.9825","22583157894.7368","29233333333.3333","35164210526.3158","39197543859.6491","43524210526.3158","35799714285.7143","36169428571.4286","37926285714.2857","40765428571.4286","45232857142.8571","45818000000"
GDP (current US$),"NY.GDP.MKTP.CD","Turks and Caicos Islands","TCA","","","","","686787800","728789600","727161000","754238000","841070000","942070000","1032452000","1028941663.2","1128749004.5304","1177285211.72521","774653669.315186"
GDP (current US$),"NY.GDP.MKTP.CD","Tuvalu","TUV","2585955.87411804","4206128.13370474","9542900.90136505","15073975.5349377","32105408.4771121","39196957.4908996","39345579.4723758","38615890.6320745","38760982.6540096","36811936.0824587","41629064.2232388","45276595.3533146","48015259.8751356","54123198.5662913","51746594.3148543"
GDP (current US$),"NY.GDP.MKTP.CD","Uganda","UGA","1259554808.90382","1244610000","4304399310.30967","6193246837.09687","26673441430.7857","27871725241.4723","27305915910.7877","28915786516.6123","32612397257.4458","32387183730.1002","29203988696.2626","30744473841.424","32927025619.6795","35348155095.4215","37600368239.8824"
GDP (current US$),"NY.GDP.MKTP.CD","Ukraine","UKR","","","79523809523.8095","32375083934.8241","141209170427.233","169333835201.554","182591753827.949","190498811460.028","133503871861.723","91030967789.0717","93355869403.9223","112090505081.739","130891088293.55","153883047509.577","156617722013.342"
GDP (current US$),"NY.GDP.MKTP.CD","United Arab Emirates","ARE","685986701.34692","43599160050.3322","50701443748.2975","104337372362.151","300189052688.904","360832739550.715","384610125391.423","400218529748.128","414105366752.893","370275469571.137","369255326235.534","390516804029.952","427049432157.931","417989721742.682","349473015330.157"
GDP (current US$),"NY.GDP.MKTP.CD","United Kingdom","GBR","130671946244.3","564947710899.373","1093169389204.55","1665534876683.31","2485482596184.71","2663805834828.07","2707089726614.64","2784853502534.29","3064708247921.43","2927911140916.73","2689106566899.61","2680148052335.3","2871340347581.79","2851407164907.81","2697806592293.86"
GDP (current US$),"NY.GDP.MKTP.CD","United States","USA","1073303000000","2857307000000","5963144000000","10250952000000","15048971000000","15599732000000","16253970000000","16880683000000","17608138000000","18295019000000","18804913000000","19612102000000","20656516000000","21521395000000","21322950000000"
GDP (current US$),"NY.GDP.MKTP.CD","Uruguay","URY","2137096774.19355","10162460046.2912","9298807850.29979","22823270892.1094","41950361211.9581","50342406067.0777","54232266358.7811","61337621933.7857","61496186973.902","57680327998.6689","57480788380.312","65006047680.3225","65344408987.1965","62222387928.9932","53668636567.8667"
GDP (current US$),"NY.GDP.MKTP.CD","Uzbekistan","UZB","","","13362340337.8657","13760513969.314","49765676402.4495","60178909297.208","67517349212.0609","73180037914.9104","80845385809.4529","86196264755.3105","86138288644.171","62081322740.0162","52870108214.6742","60283503705.3907","60224701296.7885"
GDP (current US$),"NY.GDP.MKTP.CD","Vanuatu","VUT","","121185497.569261","168879207.244148","272014627.835262","670712979.682038","770153588.218833","747839697.746593","758304466.245339","772315983.81843","730870802.967051","780889605.899977","880061833.690341","914736985.430944","936526267.622513","909421043.508407"
GDP (current US$),"NY.GDP.MKTP.CD","Venezuela, RB","VEN","11561111111.1111","59116511627.907","48606952194.7752","117146466002.661","393192354510.653","316482190800.364","381286237847.667","371005379786.566","482359318767.703","","","","","",""
GDP (current US$),"NY.GDP.MKTP.CD","Viet Nam","VNM","","","6471740805.56984","31172518403.3162","147201173196.979","172595049183.925","195590661129.249","213708811665.34","233451469642.519","239258328381.741","257096001177.982","281353605986.903","310106478394.659","334365270496.667","346615738537.796"
GDP (current US$),"NY.GDP.MKTP.CD","Virgin Islands (U.S.)","VIR","","","","","4324000000","4223000000","4089000000","3738000000","3565000000","3663000000","3798000000","3794000000","3923000000","4121000000","4189000000"
GDP (current US$),"NY.GDP.MKTP.CD","West Bank and Gaza","PSE","","","","4313600000","9681500000","11186100000","12208400000","13515500000","13989700000","13972400000","15405400000","16128000000","16276600000","17133500000","15531700000"
GDP (current US$),"NY.GDP.MKTP.CD","Yemen, Rep.","YEM","","","12643821568.9626","9679316770.18633","30906749533.221","32726417878.391","35401331609.5916","40415233436.1767","43228585321.3272","42444490073.8555","31317825274.1507","26842229044.5848","21606160663.0318","",""
GDP (current US$),"NY.GDP.MKTP.CD","Zambia","ZMB","1825285714.28571","3882889733.8403","3285217391.30435","3600632111.41414","20265559483.8548","23459515275.5776","25503060420.026","28037239462.7142","27141023558.0829","21251216798.7762","20958412538.3093","25873601260.8353","26311507273.6735","23308667781.2258","18137764931.2808"
GDP (current US$),"NY.GDP.MKTP.CD","Zimbabwe","ZWE","1884206300","6678868200","8783816700","6689957600","12041655200","14101920300","17114849900","19091020000","19495519600","19963120600","20548678100","17584890936.6523","34156069918.0609","21832234925.5021","21509698406.1116"
GDP (current US$),"NY.GDP.MKTP.CD","Africa Eastern and Southern","AFE","43702318276.3353","168165164238.413","251211844157.14","287201651448.678","849409658737.661","945439147816.613","952675592818.555","963347276805.076","979689662429.07","899295676086.836","829829959319.292","940105480733.676","1012719339457.72","1006527294483.09","929074086484.093"
GDP (current US$),"NY.GDP.MKTP.CD","Africa Western and Central","AFW","26697107727.5705","120501079996.362","123711320144.874","142140083285.948","598697706331.002","682233324561.043","737799647336.195","834160608935.995","894585438237.958","769367317617.821","692181085843.488","685750159763.133","768189587833.624","823933630796.516","787146719022.421"
GDP (current US$),"NY.GDP.MKTP.CD","Arab World","ARB","43095586226.7621","486440975212.356","640090916280.622","760659530858.826","2154252309110.19","2559855182439.78","2793775680472.15","2857872049304.91","2905075942181.63","2544136348540.18","2499965913229.88","2571053716382.94","2865543585777.95","2898668715645.56","2576553324185.61"
GDP (current US$),"NY.GDP.MKTP.CD","Caribbean small states","CSS","1494644823.07131","4581034657.32829","8504276626.8215","17467367619.1113","29715534449.1747","30344564229.3382","32052386052.2943","32390809157.2923","33462282320.5238","34538256117.6859","33451252507.2663","34921587493.3397","36225416548.2006","37621010338.3616","31378030000.782"
GDP (current US$),"NY.GDP.MKTP.CD","Central Europe and the Baltics","CEB","","","271637123369.426","428597564395.942","1316548010141.42","1454732403908.46","1359052936743.23","1417557275930.7","1463823020682.85","1293623329358.52","1316821592128.16","1461567745963.7","1649014249607.31","1674815945871.77","1665817489087.96"
GDP (current US$),"NY.GDP.MKTP.CD","Early-demographic dividend","EAR","270344193614.772","1355426060056.14","1840493287531.6","3377700768682","8708208712873.16","9813800566552.76","10261753916720.6","10406754465041.8","10766609704140","10237020101449.3","10537028724316.6","11393447781978.4","11524427704062.7","11767656585558.1","10981013167791.7"
GDP (current US$),"NY.GDP.MKTP.CD","East Asia & Pacific","EAS","412631100026.355","1840088028690.59","4790950086067.81","8377363424939.49","17078057240005.1","19796933123174.5","21174178691967.8","21411284057214.5","22089701789223.8","21995274219766.7","22776012762509.5","24329094912610","26487859556590.8","27032494942206.6","27156482410418.4"
GDP (current US$),"NY.GDP.MKTP.CD","East Asia & Pacific (excluding high income)","EAP","127055929284.596","377675119002.893","666707196460.857","1736143014172.34","7900541542589.84","9650693739294.8","10759908112898","11870059931822.1","12800187429285.8","13323235973753","13614572556661.5","14881098135429.5","16640354816152.1","17213215781553.2","17487334631867.3"
GDP (current US$),"NY.GDP.MKTP.CD","East Asia & Pacific (IDA & IBRD countries)","TEA","126925824955.441","377278090540.096","666023749316.958","1734140610323.9","7890862049222.1","9638846002337.58","10746721177079.8","11855481580395.5","12784467992142.2","13306887306272.5","13597889126598.8","14862823962899.4","16619890220308.8","17192020073785.4","17465773779184.1"
GDP (current US$),"NY.GDP.MKTP.CD","Euro area","EMU","645797489611.472","2976836154321.74","5909782092743.88","6517629739562.01","12700582110966.2","13700831614329.5","12695678622498.6","13255654454944.7","13570070381398.8","11727106023830.5","12025904489799.8","12736901061170","13761117139592.9","13481146122147.1","13155164142399.1"
GDP (current US$),"NY.GDP.MKTP.CD","Europe & Central Asia","ECS","1020817804365.85","4611623534358.83","8868968946763.85","10065925069173.9","21016513112950.8","23305973325589.8","22453705241187.9","23454990403618.1","23784373303750.2","20481460301210.5","20408605606979.3","21652842504644.6","23188735732226.2","22908223277507.4","22156549343244.9"
GDP (current US$),"NY.GDP.MKTP.CD","Europe & Central Asia (excluding high income)","ECA","","","346940936294.689","390254644017.597","1377629393492.27","1566799086233.4","1652506728905.02","1802285899175.5","1729714204725.05","1507646946545.93","1447395306947.53","1485108260761.97","1459981302399.66","1488770219744.96","1428327223229.53"
GDP (current US$),"NY.GDP.MKTP.CD","Europe & Central Asia (IDA & IBRD countries)","TEC","","","1016696527904.27","894544257579.766","3657869416963.52","4450219264234.29","4646863189589.23","4915748484819.65","4644397266377.62","3627947465522.13","3486198200219.98","3909728235465.93","4077637180273.38","4159709661061.93","3900798423599.77"
GDP (current US$),"NY.GDP.MKTP.CD","European Union","EUU","729230210211.277","3314876480855.17","6509870874516.41","7276390686987.55","14556122142376.7","15765158666571.2","14641634844097.4","15294853937310.5","15651372745918.6","13553897260141","13888833465037.9","14765880176508.2","15981445869808.9","15694050310523.1","15381418584246.1"
GDP (current US$),"NY.GDP.MKTP.CD","Fragile and conflict affected situations","FCS","65401455198.1285","382755054625.331","550431826024.048","468035986782.24","1593981100293.48","1664321553843.86","1861813804786.77","1935544489353.47","2053788945066.26","1617323277101.47","1490633651211.68","1549712150984.09","1735183810120.25","1842154935322.18","1690930063237.89"
GDP (current US$),"NY.GDP.MKTP.CD","Heavily indebted poor countries (HIPC)","HPC","33482337771.592","118158955500.902","167698097617.125","181381059271.133","509061582442.261","564065134052.837","583888328733.146","655856029913.909","694344337474.543","667302120360.803","674512464051.689","724757996634.929","774607047567.848","803355942387.057","811360288084.989"
GDP (current US$),"NY.GDP.MKTP.CD","High income","HIC","2471430871017","9318973466251.51","19577046428304.5","28036716903140.2","47340327876456","51524951092552.4","51710003724530.8","52439877375602.6","53310162826089.2","49773105280474.2","50737236574099.6","53336788717601.6","56684556889445.8","57218295248360.4","55791128824226.2"
GDP (current US$),"NY.GDP.MKTP.CD","IBRD only","IBD","606864433924.854","2495337530229.91","3560303900038.58","5873248460100.09","20111983284711.5","23807285173177.4","25304734948065.9","26693510662628.9","27592783808400.6","25838353087075.7","26027770587219.1","28745223958869","30579316565085.1","31246593993598.4","30103859045527.8"
GDP (current US$),"NY.GDP.MKTP.CD","IDA & IBRD total","IBT","698056722723.845","2791782941444.56","3938241140458.38","6390526414219.35","21693456395830.3","25594615218755.3","27188545719649.6","28743704005346.5","29800896836060","27987288576613.1","28169507573194.1","30960119365364","32964096579686","33722356189565.9","32528587315534.1"
GDP (current US$),"NY.GDP.MKTP.CD","IDA blend","IDB","32052680442.7769","128870008364.998","147829716954.316","226799197386.943","741312007016.759","847544916121.797","941695867218.565","1023665425289.17","1110564323061.43","1054056007822.38","984095717018.772","967437544352.281","1056914447272.39","1077750148722.68","1009467966729.65"
GDP (current US$),"NY.GDP.MKTP.CD","IDA only","IDX","53045318411.5332","163265145364.364","232816355943.804","291557552376.776","840161104102.099","939785129456.041","942114904365.161","1026527917428.51","1097548704598.03","1093640032209.07","1156608800300.87","1247733925328.46","1327890357838.68","1397670771530.98","1414559582470.64"
GDP (current US$),"NY.GDP.MKTP.CD","IDA total","IDA","84861825817.9256","293400954626.977","378856660652.674","517721477276.151","1581473111118.86","1787330045577.84","1883810771583.73","2050193342717.68","2208113027659.46","2147696040031.45","2140704517319.64","2215171469680.75","2384804805111.07","2475420920253.66","2424027549200.29"
GDP (current US$),"NY.GDP.MKTP.CD","Late-demographic dividend","LTE","402926758998.374","1372119747166.96","1966143155409.28","3410313487927.4","13564267760890.2","16530365963615.5","17680657970635.3","19042359863611.2","19776331354297.4","18550881244486","18593573738109.3","20631078375844.2","22623622462864.8","23050208314364","22531183291578.3"
GDP (current US$),"NY.GDP.MKTP.CD","Latin America & Caribbean","LCN","","","1102119409745.38","2326171956618.83","5395521584867.2","6137298312571.18","6209024743500.11","6362333301077.53","6483202078515.13","5418289197382.29","5283310849435.27","5866482345855.61","5742638741431.28","5659965575492.01","4804924789054.88"
GDP (current US$),"NY.GDP.MKTP.CD","Latin America & Caribbean (excluding high income)","LAC","","","957593725702.958","2001496152611.12","4556436688834.76","5320445093655.74","5297857656983.35","5436631031505.86","5457289044548.77","4634564315170.45","4496975505130.54","5012883307321.99","4870399271215.6","4804547155275.13","4046822646872.37"
GDP (current US$),"NY.GDP.MKTP.CD","Latin America & the Caribbean (IDA & IBRD countries)","TLA","","","1034598506513.31","2214793108979.01","5210710546171.9","5940252657561.23","6005862490255.01","6154592516614.85","6270841236825.2","5194835549016.91","5053700630074.01","5631949735822.71","5506072829643.66","5413987316641.17","4561296585538.66"
GDP (current US$),"NY.GDP.MKTP.CD","Least developed countries: UN classification","LDC","43924106346.4834","124275806288.408","188377840875.206","224220841301.622","687433128591.786","783931296546.498","819266433465.481","892428919239.911","959618110350.536","920864864683.309","936561647193.379","1025062467402.31","1090417461003.23","1150500716964.01","1162019936698.84"
GDP (current US$),"NY.GDP.MKTP.CD","Low & middle income","LMY","534184239050.172","2120140554041.04","3194207232338.23","5680267093251.76","18779543105772","22115543075986.5","23512181553245.6","24940261486687.7","26101787332747.3","25326526306958.9","25586586836480","27933259327710.6","29703722066967.9","30424528245038.4","29491920680088.1"
GDP (current US$),"NY.GDP.MKTP.CD","Low income","LIC","","77122651920.4901","134347494494.303","123908609247.707","372940632041.912","404514516429.277","381701640886.411","394195409295.525","422083905892.021","416120726145.318","383741508244.759","401921089084.376","418228093932.972","445278364305.202","439782467036.046"
GDP (current US$),"NY.GDP.MKTP.CD","Lower middle income","LMC","152459416906.019","513382469665.041","733709873217.555","1185525202868.85","3780034647966.09","4217834186882.18","4456528170120.24","4712914034204.83","5090396351864.47","5083698600746.07","5297558624291.54","5693069209502.06","5979736767522.21","6278114868365.95","6081790240107.95"
GDP (current US$),"NY.GDP.MKTP.CD","Middle East & North Africa","MEA","55493554807.3991","560256590116.579","745103071421.59","992555771865.102","2820272200083.83","3396706596374.72","3660136638354.7","3601732090293.32","3627618410020.68","3201010427587.39","3234258578074.41","3372000244857.37","3538057099135.22","3549945029851.94","3199081953495.53"
GDP (current US$),"NY.GDP.MKTP.CD","Middle East & North Africa (excluding high income)","MNA","40616151582.5912","304410546301.9","504675545300.179","474549193839.263","1413230709820.25","1654719982162.47","1782893176788.21","1643993969590.37","1625989413800.06","1460582775148.29","1496714718329.85","1496691802249.52","1421482666869.71","1433133665481.6","1324364502715.09"
GDP (current US$),"NY.GDP.MKTP.CD","Middle East & North Africa (IDA & IBRD countries)","TMN","40240513239.4403","301595206374.433","500008055193.937","470235593839.263","1403549209820.25","1643533882162.47","1770684776788.21","1630478469590.37","1611999713800.06","1446610375148.29","1481309318329.85","1480563802249.52","1405206066869.71","1416000165481.6","1308832802715.09"
GDP (current US$),"NY.GDP.MKTP.CD","Middle income","MIC","513783083528.124","2046090053815.55","3069619982603.02","5557879880102.09","18410290632937.1","21713900541468.3","23131481309284.9","24546674700274.3","25680744767168.3","24911694910932.1","25202592678135.5","27530340426178","29284043921765.4","29978481798259.3","29051739634677.8"
GDP (current US$),"NY.GDP.MKTP.CD","North America","NAC","1161681557632.31","3132696865996.05","6560811991360.99","10999205634931.6","16672948893486.3","17399371321174.5","18088714669521.6","18733746177835","19420301866439.9","19858182357217.1","20339807652907.4","21268509960244.1","22389071169783","23272543648672.5","22985521877000.2"
GDP (current US$),"NY.GDP.MKTP.CD","Not classified","INX","","","","","","","","","","","","","","",""
GDP (current US$),"NY.GDP.MKTP.CD","OECD members","OED","2400412274248.37","8867251981131.77","18846972458698.4","27669616112069.4","45297226688828.8","48721225418978.3","48676834813345.9","49360200440504.1","50386906873870.5","47536673280840.8","48460554255214.5","50610712929528.3","53525975116832.1","54053010452622.3","52852896615891.7"
GDP (current US$),"NY.GDP.MKTP.CD","Other small states","OSS","","21040631379.5509","33890663890.8452","55909436459.4723","138174096381.898","157064408558.829","155912881125.311","162812437315.906","167893016317.089","151721848514.729","159200150156.228","176977448024.04","193850030853.887","195442320173.664","178185121948.331"
GDP (current US$),"NY.GDP.MKTP.CD","Pacific island small states","PSS","426566439.950821","1890462575.43699","2385286557.55356","3448222600.9246","6646636169.35048","7754564667.39194","8219726546.10348","8544636536.17937","9290027187.46434","9082590662.61225","9532201525.56813","10290482444.2108","10791457053.2083","10729092905.3643","9505064735.52033"
GDP (current US$),"NY.GDP.MKTP.CD","Post-demographic dividend","PST","2340108502829","8577409479957.71","18436214579431.5","26398822852316.2","42685593909416.3","45847684271547.9","45779692961073.2","46270713136341.4","47207349839752.1","44669765037594.5","45693398993292.1","47667106352008.1","50504305917292.4","51018795008395.9","50004904334179.6"
GDP (current US$),"NY.GDP.MKTP.CD","Pre-demographic dividend","PRE","45057737028.5949","236812267826.793","411261396125.169","282743056562.662","1047586126685.77","1213699206148.6","1319408228653.58","1448620258000.13","1535536224140.68","1305833014908.77","1163168926723.78","1214614486271.29","1353360006187.64","1427162956056.16","1309584194481.23"
GDP (current US$),"NY.GDP.MKTP.CD","Small states","SST","4466735993.26499","27438523048.7579","44747769951.5554","76825026679.5082","174536267000.423","195163537455.559","196184993723.708","203747883009.378","210645325825.077","195342695295.027","202183604189.062","222189517961.591","240866904455.296","243792423417.39","219068216684.633"
GDP (current US$),"NY.GDP.MKTP.CD","South Asia","SAS","85149253640.7686","235543383601.435","406963354249.835","647681666329.099","2082357808583.89","2294090940082.05","2327938845782.62","2389895068185.15","2614915526247.9","2733618963171.59","3011037037667.86","3433921312241.12","3534066858502","3658209766221.57","3493120726807.89"
GDP (current US$),"NY.GDP.MKTP.CD","South Asia (IDA & IBRD)","TSA","85149253640.7686","235543383601.435","406963354249.835","647681666329.099","2082357808583.89","2294090940082.05","2327938845782.62","2389895068185.15","2614915526247.9","2733618963171.59","3011037037667.86","3433921312241.12","3534066858502","3658209766221.57","3493120726807.89"
GDP (current US$),"NY.GDP.MKTP.CD","Sub-Saharan Africa","SSF","70450505277.5343","290362860824.318","373699392898.216","428346156747.99","1448107365068.66","1627672472377.66","1690475240154.75","1797507885741.07","1874275100667.03","1668662993704.66","1522011045162.78","1625855640496.81","1780908927291.34","1830460925279.6","1716220805506.51"
GDP (current US$),"NY.GDP.MKTP.CD","Sub-Saharan Africa (excluding high income)","SSA","70436667210.8365","290218140808.147","373310030639.63","427688179170.896","1447125748526.33","1626613553670.39","1689385832315.55","1796174725333.69","1872887522796.95","1667230590352.53","1520442531814.64","1624180269855.79","1779124613364.58","1828592235182.87","1714838253754.94"
GDP (current US$),"NY.GDP.MKTP.CD","Sub-Saharan Africa (IDA & IBRD countries)","TSS","70450505277.5344","290362860824.319","373699392898.216","428346156747.99","1448107365068.66","1627672472377.66","1690475240154.75","1797507885741.07","1874275100667.03","1668662993704.66","1522011045162.78","1625855640496.81","1780908927291.34","1830460925279.6","1716220805506.51"
GDP (current US$),"NY.GDP.MKTP.CD","Upper middle income","UMC","354005532449.168","1539974154699.52","2334186272700.92","4372322368009.91","14630255984971","17496066354586.1","18674953139164.7","19833760666069.5","20590348415303.8","19827996310186","19905034053844","21837271216675.9","23304307154243.2","23700366929893.3","22969949394569.8"
GDP (current US$),"NY.GDP.MKTP.CD","World","WLD","3001559626304.82","11419164161217.7","22822610047367.9","33839387350047.3","66514174634775.9","73957792909770.5","75603976718162.8","77751368312765.4","79894385759929.2","75359657218242.5","76588030455295.5","81550955754739.2","86686870786621.5","87945574337517.8","85577718250195.5"
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Afghanistan","AFG","","48.50431","","","108.95861","112.326","117.03964","116.43935","112.2448","108.47538","","","110.77532","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Albania","ALB","","","","99.64106","98.08922","97.7791","101.7773","106.80678","107.6333","111.0067","109.28381","111.50482","109.09234","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Algeria","DZA","","86.80161","90.70109","96.71252","114.59823","111.78247","114.2476","113.60348","111.66726","108.11132","105.31015","101.94507","101.88002","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","American Samoa","ASM","","","","","","","","","","","","","","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Andorra","AND","","","","","","","","","","","","","","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Angola","AGO","","","","","138.02579","156.76825","","","","","","","","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Antigua and Barbuda","ATG","","","","105.81474","106.80977","106.38298","98.49284","","115.31136","114.36865","","95.97701","98.51904","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Argentina","ARG","119.31342","","","106.61295","105.48901","106.1216","103.25164","101.72732","102.41138","105.5189","106.43014","106.2035","","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Armenia","ARM","","","","96.44397","104.83095","103.29394","99.82002","95.9695","95.8637","96.09745","97.83123","96.17768","91.89196","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Aruba","ABW","","","","106.07735","101.15607","","","108.35777","110.9882","","","","","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Australia","AUS","","","","","","","","","","","","","","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Austria","AUT","","","","","","97.79686","99.28816","98.42649","97.77493","98.79947","99.04046","101.00607","","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Azerbaijan","AZE","","","","94.85181","89.50567","98.93805","103.76505","112.09085","110.41094","101.24678","104.30567","101.68906","94.85142","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Bahamas, The","BHS","","","","","85.78259","92.13554","86.59924","84.28481","84.93697","87.15463","83.06878","88.50437","83.28551","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Bahrain","BHR","","","","97.38224","95.87415","96.99959","95.69389","94.6065","98.64157","101.52672","102.27122","96.98386","89.1598","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Bangladesh","BGD","","","","","115.74175","130.46604","","125.7713","","116.77142","103.9233","100.97673","105.53788","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Barbados","BRB","","","","89.87342","94.98807","93.42872","","","95.53041","","","95.07193","98.33228","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Belarus","BLR","","112.82511","98.71282","102.92583","99.85944","98.93077","97.62332","98.12116","101.4101","102.54339","105.92952","97.73895","94.11003","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Belgium","BEL","","98.44945","","","95.68203","97.30054","96.53183","99.07903","97.8669","98.5835","97.81686","97.52346","","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Belize","BLZ","","","","119.11807","104.78506","102.12766","104.39306","103.13394","104.19028","105.28136","103.75449","101.73602","98.49042","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Benin","BEN","","64.31646","72.38974","99.73154","146.60229","146.54076","156.18053","154.96226","157.41453","161.96453","158.69049","149.92287","146.92009","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Bermuda","BMU","","","","","100.41494","101.9774","99.13669","97.07174","106.87593","70.75038","","","","",""
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","Bhutan","BTN","","","","81.64176","114.96272","106.82629","93.5415","87.88127","96.12957","","100.34703","100.75253","105.14864","",""
